"","STATION","STATION_NAME","DATE","PRCP","days","total.precip","max.flag","cooksd","tc.station"
"184","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961119",0.86,1996-11-19,0.21,"Normal",0.0422114157361271,"PSC1"
"185","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19961127",1.1,1996-11-27,1.76,"Normal",0.0424128436732356,"PSC1"
"186","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970318",1.9,1997-03-18,1.33,"Normal",0.214657048207123,"PSC1"
"187","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19970918",0.01,1997-09-18,1.51,"Normal",0.0435100988971433,"PSC1"
"188","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19971216",2.57,1997-12-16,2.45,"Normal",0.0763140269057741,"PSC1"
"189","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19980301",0.72,1998-03-01,1.74,"Normal",0.0514029286630715,"PSC1"
"190","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981113",2.59,1998-11-13,2.36,"Normal",0.144485464299614,"PSC1"
"191","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19981120",2.42,1998-11-20,2.09,"Normal",0.183328477357246,"PSC1"
"192","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19990127",1.32,1999-01-27,0.96,"Normal",0.042014725480952,"PSC1"
"193","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941031",2.95,1994-10-31,4.44,"Normal",0.154330048612223,"PSL1"
"194","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941130",2.5,1994-11-30,2.25,"Normal",0.386180647058565,"PSL1"
"195","GHCND:USW00024227","OLYMPIA AIRPORT WA US","19941208",0.8,1994-12-08,2.41,"Normal",0.056254402211024,"PSL1"
